id,header_review,ulasan,label
0,Mantap Barang Sesuai Pesanan,mantap barang sesuai pesanan,1
1,Mantaps.....,Mantaps.....,1
2,Barang Sesuai,Terima kasih buka lapaklapak barang sesuai dengan keinginan dan memuaskan,1
3,Barang Asli,Barang asli,1
4,Mmc  32 Gb. Samsung,Packing  rapih  barang sesuai  pesanan  dan cepat  sampai,1
5,"Bagus Namun Akan Lebih Baik Apabila Lebih Bgus Lg",bagus,1
6,Sesuai Pesanan Mantap,"Keren bgt sepatu nya... Nyaman dikaki, ringan pokok nya muantap..",1
7,Healthy,"Nyoba dulu, mudah mudahan ampuh...",1
8,Bagus,lagi di coba nich mudah2an bagus dan awet,1
9,Kecil Bangt G Muat Sama Sekali,kecil g muat d pakek dan g bisa melar,0
10,Gamis Maxi,"Barang sesuai gambar tp bahan agak kasar,  tp lumayan lah dengan harga segitu.",1
11,Yah Lumayan Lah,yah lumayan lah..,1
12,"Packing Rapi , Recommended Seller",Barang bagus dan sesuai pesanan,1
13,Sudah Diterima,sudah diterima,1
14,Murah Banget Dan Sesuai Orderan,Murah banget dan sesuai orderan,1
15,Lumaya Bagus,Tapi tdk cocok bagi saya terpaksa buat anak saya,1
16,Brng Dah Smpe Tpi Ga Bsa Dpke,"Brngnya ga bsa dpke, dicas ga penuh""",0
17,Kereen,"Ukuran pas, harga murah, kualitas oke",1
18,Sendal,"2 kali beli di sni alhamdulilkah memuaskan, thank ya kak",1
19,Bagus,saya suka,1
20,Barang Sesuai Pesanan,"Tks gan barang sesuai pesanan, cepat sampai, admin toko fast respon.. mantep pokoknya. Sukses gan",1
21,Bagus,Bagus. .,1
22,Bango,Flash sale.. murah.. murah.. murah...,1
23,Nursalam Membelinya...Tak Sesuai,Nursalam membelinya...tak sesuai,0
24,Best,Jos Jos Jos Jos Jos Jos Jos Jos Jos Jos Jos Jos Jos Jos Jos,1
25,Gamis Katun,Gamis katun jepangnya bagus.... Pas buat hari2an dpakai... Tapi d histori penjual bilang,1
26,Bagus Sesuai,bagus sesuai,1
27,Sudah Di Coba Ok,Saat pertama di coba tidak mau konek tapi sekarang sudah tampil dilayar Mudah mudahan awet,1
28,Bagus Ka..Thanks....,bagus ka..thanks....,1
29,Keren,Suka keren bagus tapi lebih bagus kalo bisa bayar di tempat,1
30,Nice,Barang sudah sampai dgn selamat. thanks bl,1
31,Kecewa...,"Gamis&apos;y tdk sesuai foto jauh beda ky antara langit&bumi,jd kapok dech!!!",0
32,Barang,Barangnya bagus..aman..pengiriman cepat .mantap daah....,1
33,Sueeeeee,"barang sobek main kirim aja,payah lapak ni nyari rizki tp kain lap di kirim",0
34,Harga Ok..,Kualitas barang yg dijual OK..recomended seller,1
35,Respon Chat Kurang Baik,Tolong Respon Chatnya lebih Dipercepat,1
36,Hdmi To Av Rca,"order kedua bagus gan alatnya berfungsi dengan baik, respon dan pengirimannya juga cepat, pokoknya rekomended banget deh, terima kasih ya gan..",1
37,Packing Nya Maksimal,Barang sampai dengan sempurna tanpa kerusakan sedikitpun,1
38,Bahan Bagus,"bahan bagus, warna pinknya cerah. sangat cocok untuk perempuan. nice quality",1
39,Ukuran,"untuk ukuran 45/46 seperti ukuran 44. ngepas dan tidak ada ruang sisa di kaki. jika yang diinginkan ukuran 45, maka pesanan harus di no 47/48. IMO.",1
40,Kondisi Barang,Barang sesuai foto. Tidak mengcewakn. Pengriman tepat waktu. Okey semua,1
41,Ok Ok Ok Sip Ok Mantap Jiwa,Ok ok ok ok sip sip ok mantap jiwa,1
42,Sesuai Gambar. Bahan Mantap.,Sesuai gambar. Bahan mantap.,1
43,Bagussssssssss,bagussssssssss,1
44,Barang Nya Mantapp..Bos Sesuai D Pesan Ok Tks Bos...,Barang nya bagus..respone chat cepat..barang cepat sampai ok tks,1
45,"Berfungsi Dengan Baik ,Sangat Bagus...","berfungsi dengan baik ,sangat bagus...",1
46,Barang Sesuai Dengan Gambar Dan Kualitas Oke,Barang sesuai dengan gambar dan kualitas oke....  respon cepat... ,1
47,Size 40nya Kecil,Size 40nya kecil biasa nya sya pake 40 pas ini ke kecillan,1
48,"Packaging Rapih, Respon Cepat :)","packaging rapih, respon cepat :)",1
49,Bagus Hanya Saja Disamping Ga Ada Kantongnya,Bagus hanya saja disamping ga ada kantongnya,1
50,Tour Raja Ampat | Www.Rajaampat.Fun,Tour Raja Ampat | www.rajaampat.fun,1
51,Packing Rapih,pengiriman barang cepat semoga bisa di pertahankan,1
52,Warna Navy Tidak Sesuai,"Beli dua, Yang navvy bahannya bukan bahan chino biasanya, malah kayak bahan training, tebal dan mengkilap, agak kecewa.",1
53,Halus,halus,1
54,Barang Sudah Dicobaa Bisaaa Mantabbb,barang sudah dicobaa bisaaa mantabbb,1
55,Terima Kasih Barang Sdh Sampai,Sesuai pesanan dg respon baik. Terima kasih,1
56,On Terus,Sudah dikutak-katikdikutak-katik sendiri akhirnya bisa juga...thanks...,1
57,Penipuan,penipuan.ini  barang ga bisa dipake.komplain dicueki pas mau beli direspon trus. anjing fuck you,0
58,"Lumayan Namun Akan Lebih Baik Apabila Harga Lbh Murah",Lumayan ,1
59,Sangat Puas,sangat puas,1
60,Ulasan Harus Diisi,ulasan harus diisi,1
61,Card,Saya sangat puas sesuai dengan pesanan.,1
62,Lumayan,"Barang lumayan buat latihan, mantab",1
63,Lumayan Sesuai Harganya,Lumayan sesuai harganya standard,1
64,Barang Sesuai Dengan Harga,barang sesuai dengan harga ,1
65,Barang Bagus,barang bagus..kualitas sesuai harga,1
66,Respon Cepat,"Barang sesuai pesanan, packing rapih, pengiriman cuma ke tunda libur lebaran aja. Makasih gan barangnya bagus nyaman di pakai",1
67,Respon Cepat,Pelayanan Di Toko Ini Sangat Cepat.. Respon Penjual Nya Juga Sangat Baik.. Tingkatkan Lagi Pelayanan Nya Ya.. Semoga Tambah Sukses Usaha Nya.. Terima Kasih..!!!,1
68,Lumayan Sesuai Harga Nya..Trims,lumayan sesuai harga nya..trims,1
69,Minta Putih Dikasih Biru,minta putih dikasih biru,0
70,Bagus,Cm sayang minta size M dikirm L alhasik kegedean,1
71,Barang Sudah Diterima. Terimakasih,barang sudah diterima. terimakasih,1
72,Wowwwwwwwwwwwwwwwwwwwwwwwwww,Wowwwwwwwwwwwwwwwwwwwwwwwwwwwwwww,1
73,Barang Ok,packing ok  ,1
74,Barang Rusak Tidak Bisa Dipakai Nelpon & Sms,barang rusak tidak bisa dipakai nelpon & sms,0
75,Kualitas Bagus,kualitas bagus,1
76,Murah..Kwalitas Mantap,murah..kwalitas mantap,1
77,Baik,"Seneng udh sampe, packing baik kirain handbody yg gede ternyata kecil tp puas lah harga flashdeal",1
78,Terimakasih,Suka sekali .. Barang nya sesuai,1
79,Barang Bagus Sesuai Pesanan,barang bagus sesuai pesanan,1
80,Glory Cell Kudus Wa 089686092534,GLORY CELL KUDUS WA 089686092534,1
81,Cpt Sampe,Madah2an cocok ke kulit kuh...barang baru saja.nyampe aq.dah pesen LG...,1
82,"Trimakasih, Semoga Obatnya Dapat Membantu","trimakasih, semoga obatnya dapat membantu",1
83,Barang Dengan Kode Pemesanan151129084199 Uda Di Terima ,barang dengan kode pemesanan151129084199 uda di terima .... thanks ya,1
84,Fungsional Tapi Murah,Sesuai dengan deskripsi. Berfungsi dng baik namun harga sangat terjangkau. Cuma seller agak lambat mengirim barang ke ekspedisi,1
85,Baju Dipake Gak Nyaman,"Mohon tingkatkan kualitas,  gak real pict",0
86,Biasa Aja,Ga mirip sama gambar. Kw 10 mungkin. Tp sesuai harga,1
87,Barang Asli. Mantap,barang asli. mantap ,1
88,Barang Bagus Sesuai Gambar Dan Pengiriman Edyan Cepet,"Barang bagus sesuai gambar dan pengiriman edyan cepet,, satu yg kurang no yg bisa di hubungi biar bisa berlangaanan ",1
89,Dvd Rusak,Pas saya play untuk pertama kali gak ada masalah. Tapi pas kedua kalinya malah gak bisa sama sekali. Kecewa saya,0
90,Bagus,"Bahan lumayan bagus,tapi bagian paha ketat banget gan",1
91,Barang Sudah Sampai,Barang sesuai dengan pesanan dan pelayanannya memuaskan,1
92,Puas,Pungsi dgn semesti nya tx bukalapak,1
93,"Ok

Namun Akan Lebih Baik Apabila Semakin Baik",ok,1
94,"Sesuai Yang Di Minta, Cpt Datang N Packing R8api","Sesuai yang di minta, cpt datang n packing rapi",1
95,Kerreennn,Barang bagus semoga awetttttttttt,1
96,Tertypu,Dikirimnya sachet. Fs Terkampret,0
97,Pas,pas,1
98,Barang Rusak Tidak Ada Respon,"Barus sampe saya buka kabelnya udah putus. Udah komplain saya tunggu 24 jam gak ada respon. Tipe penjual yang lepas tanggung jawab, cuma tau untung.",0
99,Bagus,sesuai harga,1
100,Barang Sesuai Apa Yg Diinginkan Trima Kasih,Pengiriman cepat barang sesuai yg diinginkan,1
101,Gak Sesuai Deskripsi,"Apa yg ditulis bahwa ini grade ori dgn detail nya , ternyata ga sesuai ... Terimakasih ,,",0
102,Terimakasih,"Terimakasih, barang sesuai pesanan",1
103,"Barang Asli,Sukses Gan","barang asli,sukses gan",1
104,Barang Sudah Sampai,Barang sudah sampai...................,1
105,Suka,Lumayan...bagus kok... Cepet sampai,1
106,Sesuai Pesanan,Harga murah kualitas jempolan walau telat sampai tapi gak apa apa lah...kebelet soalnya,1
107,Rekom Nihh!!!,On time banget...kalenji sesuai dengan gambar,1
108,Bagus,"Tidak seindah di foto,tapi sama kok bentuknya,fungsionalitasnya juga sama.",1
109,Thkssssssssssssssssssss,thkssssssssssssssssssss,1
110,Biasa Aja,Biasa saja karena sudah respon toko mereka diminta informasi,1
111,Worth,Harga murah ukuran pas - worth for the money lah,1
112,Sip,Sandalnya pas dan dia sngat suka ktanya,1
113,Joss,"Sesuai pesanan , recomended ",1
114,Barang Nya Oke Banget,barang nya oke banget,1
115,Ok,ok,1
116,Bahan Nya Enak Di Pakai,Huwaa baguss bangt Bahan nya g Nyesell Beli Di sini,1
117,Bagus,Siip ...warna dan bahan bagus...saya suka,1
118,"Makasih Banyak Bos,Biarkan Bintang Yg Berbicara.","makasih banyak bos,biarkan bintang yg berbicara.",1
119,Kertas Thermal Ok,Kertas thermal dah dipakai dan hasil cetak bagus. Penjual proses kirim brg cepat. Thx,1
120,Wifi Tidak Berfungsi Hanya Bisa Pake Kabel Lan,"Bonus sc card juga tidak di pakai, hasil rekaman kosong",0
121,"Oke, Sampai Dengan Aman.","Bagus, tapi diameter per bijinya kecil"".. Its oke",1
122,"Casan Leptop Beda, Saya Minta Di Kirim Yang Sesuai,",Barang tidak sesuai depskripsi,0
123,Bagus,Sesuai dengan pesanan ... ... ...,1
124,Worth With Price,Celana nya sesuai deskripsi baik bahan maupun kualitasnya,1
125,Ok,barang bagus ok smuany .. cuman ctatan pembeli untuk warna gk d respon .. barangny sih ok bgt,1
